[32minfo[39m: Initializing database... {"service":"database-manager","timestamp":"2025-09-24T09:04:46.445Z"}
[32minfo[39m: Database initialized successfully {"service":"database-manager","timestamp":"2025-09-24T09:04:46.448Z"}
[32minfo[39m: Database Manager Daemon listening on port 3002 {"service":"database-manager","timestamp":"2025-09-24T09:04:46.450Z"}
[32minfo[39m: Database Manager Daemon started successfully {"service":"database-manager","timestamp":"2025-09-24T09:04:46.450Z"}
[32minfo[39m: Heartbeat: Database Manager Daemon is alive {"memory":{"arrayBuffers":4872007,"external":7709501,"heapTotal":124698624,"heapUsed":119460232,"rss":187154432},"service":"database-manager","timestamp":"2025-09-24T09:05:16.451Z"}
[32minfo[39m: Heartbeat: Database Manager Daemon is alive {"memory":{"arrayBuffers":4872007,"external":7709541,"heapTotal":124698624,"heapUsed":119519976,"rss":187203584},"service":"database-manager","timestamp":"2025-09-24T09:05:46.453Z"}
[32minfo[39m: Heartbeat: Database Manager Daemon is alive {"memory":{"arrayBuffers":4872007,"external":7709541,"heapTotal":124698624,"heapUsed":119557840,"rss":187219968},"service":"database-manager","timestamp":"2025-09-24T09:06:16.454Z"}
[32minfo[39m: Heartbeat: Database Manager Daemon is alive {"memory":{"arrayBuffers":4872007,"external":7709541,"heapTotal":124698624,"heapUsed":119589160,"rss":187252736},"service":"database-manager","timestamp":"2025-09-24T09:06:46.455Z"}
[32minfo[39m: Heartbeat: Database Manager Daemon is alive {"memory":{"arrayBuffers":4872007,"external":7709541,"heapTotal":124960768,"heapUsed":119625512,"rss":49053696},"service":"database-manager","timestamp":"2025-09-24T09:07:16.457Z"}
[32minfo[39m: Heartbeat: Database Manager Daemon is alive {"memory":{"arrayBuffers":4872007,"external":7709541,"heapTotal":124960768,"heapUsed":119672968,"rss":43483136},"service":"database-manager","timestamp":"2025-09-24T09:07:46.458Z"}
[32minfo[39m: Heartbeat: Database Manager Daemon is alive {"memory":{"arrayBuffers":4872007,"external":7709541,"heapTotal":124960768,"heapUsed":119686048,"rss":45924352},"service":"database-manager","timestamp":"2025-09-24T09:08:16.459Z"}
[32minfo[39m: Heartbeat: Database Manager Daemon is alive {"memory":{"arrayBuffers":4872007,"external":7709541,"heapTotal":124960768,"heapUsed":119705816,"rss":42287104},"service":"database-manager","timestamp":"2025-09-24T09:08:46.462Z"}
[32minfo[39m: Heartbeat: Database Manager Daemon is alive {"memory":{"arrayBuffers":4872007,"external":7709541,"heapTotal":124960768,"heapUsed":119718264,"rss":41746432},"service":"database-manager","timestamp":"2025-09-24T09:09:16.463Z"}
[32minfo[39m: Heartbeat: Database Manager Daemon is alive {"memory":{"arrayBuffers":4872007,"external":7709541,"heapTotal":124960768,"heapUsed":119736760,"rss":45662208},"service":"database-manager","timestamp":"2025-09-24T09:09:46.464Z"}
[32minfo[39m: Heartbeat: Database Manager Daemon is alive {"memory":{"arrayBuffers":4872007,"external":7709541,"heapTotal":124960768,"heapUsed":119754816,"rss":45957120},"service":"database-manager","timestamp":"2025-09-24T09:10:16.466Z"}
[32minfo[39m: Heartbeat: Database Manager Daemon is alive {"memory":{"arrayBuffers":4872007,"external":7709541,"heapTotal":124960768,"heapUsed":119767080,"rss":46055424},"service":"database-manager","timestamp":"2025-09-24T09:10:46.467Z"}
[32minfo[39m: Heartbeat: Database Manager Daemon is alive {"memory":{"arrayBuffers":4872007,"external":7709541,"heapTotal":124960768,"heapUsed":119778680,"rss":46104576},"service":"database-manager","timestamp":"2025-09-24T09:11:16.467Z"}
